Issue name,Severity,Path,Domain,Project,Branch,Status,Deep link,Related to
" Use of 32-bit time_t"," high"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/recipe-sysroot/usr/include/vcard_parser.h"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/2c08521a-ad5d-4aad-9e98-26a8c2dcfadb/issues/836d24e32a77cd7450da932e9156684b54928e4aa46ef49e9129088dfd242139"," 2020 CWE On the Cusp"
" Uninitialized scalar field"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-sco-manager.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/86311e4d987c9bfc2dfce6944ce029a8df84bf1e0827cbe389a5f238d3758657"," No Related Standards"
" AUTO_CAUSES_COPY"," low"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-parser-map.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/2c08521a-ad5d-4aad-9e98-26a8c2dcfadb/issues/8f4301fef34afc7b600115454b28d3d61d3698fae096cbf33589c4ee9db03868"," No Related Standards"
" Uninitialized pointer field"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-sco-listener.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/90b213e12532e79d10e41458c543b652104ce7ffe21628c7009762fa9186c399"," No Related Standards"
" Uninitialized scalar variable"," high"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-bluez-monitor.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/68af20da-d1c6-4d13-94bc-b4871ef2c7d1/issues/9ae1a0ccb53ede17c7cd8d051d9b3250d0b0c1344883033e7c8c96288f771305"," No Related Standards"
" Uninitialized pointer field"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-hci.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/a1ef11e1bda7969f827a1f48398c158996e1630194d0808136ddedd16561d27e"," No Related Standards"
" Uninitialized pointer field"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-ofono-hfp-audio.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/a5008440d7bdf39632297f1ac151a5776679ce9dd042331df4b4eb1cc7bcfd48"," No Related Standards"
" Useless call"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/recipe-sysroot/usr/include/google/protobuf/repeated_field.h"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/a524294b04d5f3d1ad3d13a49ff63f942c8e19d4e36378a2cd8eb066981cdc38"," No Related Standards"
" Uninitialized pointer field"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-adapter.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/a7951abb6a116dbe3866f48774ffccf146fd7820a19dd292606081557bc46390"," No Related Standards"
" Resource leak"," high"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-sco-listener.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/abad71e7f86934a7d18e7b0e00b290a37bc06e8f158ccd48fd73f47b919a0e71"," No Related Standards"
" Uninitialized pointer read"," high"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/recipe-sysroot/usr/include/c++/10.3.0/bits/std_function.h"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/2c08521a-ad5d-4aad-9e98-26a8c2dcfadb/issues/b027793abe339b410b3cd9c39f78c250489cd997f5da2f81977d7ad8e52b47ac"," No Related Standards"
" Uninitialized pointer field"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/recipe-sysroot/usr/include/c++/10.3.0/bits/std_function.h"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/2c08521a-ad5d-4aad-9e98-26a8c2dcfadb/issues/c46f5cfc9dbf120adf7a68c93e9017f6df403f3262f4543d9b1ba33a2b24f6c0"," No Related Standards"
" AUTO_CAUSES_COPY"," low"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-parser-map.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/2c08521a-ad5d-4aad-9e98-26a8c2dcfadb/issues/d200d0f93e302e7b954fc4cc8ee99a38a2d014ee057558f820efb36fcee08848"," No Related Standards"
" Dereference before null check"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-sco-manager.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/e32f7d8a7182a081aac7479b349c5e0b793de9f4c15a4ad7e7f64edeff65b721"," PCI DSS 2018, 2021 CWE Top 25"
" Uninitialized scalar field"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/include/polaris-bluetooth-ofono-monitor-structs.hpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/e451180e10f13d43bc46ee26969d016dfff8d7816c9a4d5bfd4d3e0490c5c60b"," No Related Standards"
" Uninitialized pointer field"," medium"," work/2022-09-27T21.18.29Z-polaris-9210-venus-63/kodiak/build-polaris-9210/tmp/work/polaris_9210-poky-linux-gnueabi/polaris-bluetooth/1.0-r0/git/src/polaris-bluetooth-api-v2.cpp"," Static Analysis (SAST)"," polaris-bluetooth"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/2c8d94a6-7350-4721-b7ee-814edac7d9a6/branches/4b252377-8bf1-496b-be75-0f792c910772/revisions/f9cc0268-14fb-4b86-b6dc-88087d2b3b7a/issues/fd00248373af3a1c1c57a587b435bb343f565d55d8b3a3ecca6084552a955fba"," No Related Standards"
" Operands don't affect result"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/CFLiteBinaryPlist.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/006b0635465e8baf61b90a4954bf7e9dfe59299ca04aae355bb22622301787d2"," No Related Standards"
" Dereference null return value"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/External/SRP/srp6_server.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/01da41b781e96b2150bc323fde37d9b77eafa3324b45401df30702a5d3c95a3c"," PCI DSS 2018, 2021 CWE Top 25"
" Explicit null dereferenced"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/HTTPServer.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/0276da2686c16eebdb793516acff2b3641a587f1746301ed64852b86d636533d"," PCI DSS 2018, 2021 CWE Top 25"
" Explicit null dereferenced"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/src/carplay-debuglogger.cpp"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/0364235a82d9820d00245381a7068b4ae632241c24559f0e64112a322f89e00a"," PCI DSS 2018, 2021 CWE Top 25"
" Use of 32-bit time_t"," high"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/NetUtils.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/91db083c-df65-473e-b89c-ad7bf9d5e4e6/issues/08eb52154bed0a87e7a24ee540a188aa0f74b1b86fdb2acb2ab966f63d93fc19"," 2020 CWE On the Cusp"
" Resource leak"," high"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/CFLite.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/0a7698dbef9f4f4a601b2d2522510dc1e892a1b34825c577bf8551417c66ce96"," No Related Standards"
" Parse recovery warning"," low"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/recipe-sysroot-native/usr/lib/arm-poky-linux-gnueabi/gcc/arm-poky-linux-gnueabi/10.3.0/include/arm_neon.h"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/72dee757-7a73-41e9-abc7-a695d3a89f7a/issues/0c7df715c974c348e16de2e48a6e13bdcd6e5c042df7870ed4c2cdc5bf62fe40"," No Related Standards"
" Branch past initialization"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/Sources/CarPlayControlClient.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/0cb467d18d8cad81aa3e133f24f8f2625edff2e09f8448404a0c146e8c90ccd2"," No Related Standards"
" Unchecked return value from library"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/AsyncConnection.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/0d652b325bc5b586c0505ec040356431f3eec36f989a4a24e81b9deae604abca"," 2021 OWASP Top 10, PCI DSS 2018"
" Dereference null return value"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/HTTPServer.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/0e59d07e4a930505e9152b64814e941c64c44800b0cdd661d32fc04f60a2c348"," PCI DSS 2018, 2021 CWE Top 25"
" Resource leak"," high"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/CFLite.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/0ebe5dab1332e40db478b1d952ded75cb9ff61c4c9a36e990140ea245336b169"," No Related Standards"
